Symbol,Strategy,Total_Return_%,Sharpe_Ratio,Max_Drawdown_%,Total_Trades,Win_Rate_%,Profit_Factor,Avg_Trade_Duration_Hours
SPY,Part I Original (Optimized),0.24817062702520154,0.9314128074501733,-0.13083683765504264,17,47.05882352941176,0.0,1.1127450980392155
SPY,Part I Enhanced,0.15850672686967826,-0.8409578068586384,-0.14668589270484567,13,61.53846153846154,0.0,5.1217948717948705
SPY,Mean Reversion (Optimized),0.03602767304715648,-4.640527571603151,-0.08593186475956463,7,0.0,0.0,0.08333333333333333
SPY,Trend Following (Optimized),0.0,0.0,0.0,0,0.0,0.0,0.0
SPY,Momentum Scalping,-0.06260725913364018,-5.103497408422906,-0.23010232535151035,64,32.8125,0.09173680731522003,2.486979166666666
SPY,Range Breakout,0.0,0.0,0.0,0,0.0,0.0,0.0
SPY,Volume Momentum,0.15782019719103868,-1.2907783165557185,-0.0891784377442496,64,42.1875,0.13060740688759848,1.4544270833333333
QQQ,Part I Original (Optimized),0.1654042522993837,-0.473638681626557,-0.19267884434745924,26,53.84615384615385,0.10790385159042042,0.08333333333333334
QQQ,Part I Enhanced,0.07589780806693813,-2.4891824134080083,-0.17384807268138683,13,61.53846153846154,0.0,0.08333333333333333
QQQ,Mean Reversion (Optimized),0.2042924107032107,0.08432664624411393,-0.06612645519540467,13,61.53846153846154,0.2437885546501616,0.08333333333333333
QQQ,Trend Following (Optimized),0.0,0.0,0.0,0,0.0,0.0,0.0
QQQ,Momentum Scalping,0.24107285627421593,0.657292711949991,-0.20707629151065615,88,40.909090909090914,0.1416777346052037,1.647727272727272
QQQ,Range Breakout,0.0,0.0,0.0,0,0.0,0.0,0.0
QQQ,Volume Momentum,0.07853407265490109,-2.591990954866556,-0.17260043753442048,104,52.88461538461539,0.2097777976713514,0.9727564102564104
